CATEGORY,MENU_CODE,MENU_NM,NTT_CNT
ALCHL,ALCHL_M01003,막걸리,34499967
ALCHL,ALCHL_M01004,맥주,34499967
ALCHL,ALCHL_M01005,사케,34499967
ALCHL,ALCHL_M01008,와인,34499967
ALCHL,ALCHL_M01010,칵테일,34499967
BARFD,BARFD_M01001,견과류,34499967
BARFD,BARFD_M01002,골뱅이,34499967
BARFD,BARFD_M01003,과일안주,34499967
BARFD,BARFD_M01004,번데기,34499967
BARFD,BARFD_M01005,소시지,34499967
BARFD,BARFD_M01006,오징어·먹태·노가리류,34499967
BARFD,BARFD_M01008,은행·꼬치구이,34499967
BARFD,BARFD_M01009,타코와사비·고노와다,34499967
BUFFT,BUFFT_M01001,뷔페·식권,34499967
CNVNC,CNVNC_M01001,감자튀김·사이드메뉴,34499967
CNVNC,CNVNC_M01002,고로케·소시지빵·피자빵,34499967
CNVNC,CNVNC_M01003,닭강정,34499967
CNVNC,CNVNC_M01004,도넛·꽈배기,34499967
CNVNC,CNVNC_M01005,떡·모찌,34499967
CNVNC,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,34499967
CNVNC,CNVNC_M01007,만두,34499967
CNVNC,CNVNC_M01008,머핀·카스텔라,34499967
CNVNC,CNVNC_M01009,베이글·식사용빵,34499967
CNVNC,CNVNC_M01010,빙수,34499967
CNVNC,CNVNC_M01011,샌드위치,34499967
CNVNC,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,34499967
CNVNC,CNVNC_M01013,식빵·바게트,34499967
CNVNC,CNVNC_M01014,아이스크림,34499967
CNVNC,CNVNC_M01015,약과·한과,34499967
CNVNC,CNVNC_M01017,찐빵,34499967
CNVNC,CNVNC_M01018,케이크,34499967
CNVNC,CNVNC_M01019,쿠키,34499967
CNVNC,CNVNC_M01020,토스트,34499967
CNVNC,CNVNC_M01021,핫도그,34499967
CNVNC,CNVNC_M01022,햄버거,34499967
CNVNC,CNVNC_M02001,간장·마늘치킨,34499967
CNVNC,CNVNC_M02002,기타시즈닝치킨,34499967
CNVNC,CNVNC_M02003,반반치킨,34499967
CNVNC,CNVNC_M02004,베이크류치킨,34499967
CNVNC,CNVNC_M02005,양념치킨,34499967
CNVNC,CNVNC_M02006,프라이드치킨,34499967
DRINK,DRINK_M01001,라떼류음료,34499967
DRINK,DRINK_M01002,라떼류커피,34499967
DRINK,DRINK_M01004,쉐이크·스무디·요거트,34499967
DRINK,DRINK_M01005,아메리카노,34499967
DRINK,DRINK_M01006,에스프레소·드립커피·냉침커피,34499967
DRINK,DRINK_M01008,전통차·허브차·과일차,34499967
DRINK,DRINK_M01009,주스·에이드,34499967
DRINK,DRINK_M01010,커피,34499967
DRINK,DRINK_M01012,홍차·녹차·밀크티,34499967
FORGN,FORGN_M01001,그라탕,34499967
FORGN,FORGN_M01003,돈부리,34499967
FORGN,FORGN_M01004,동남아음식,34499967
FORGN,FORGN_M01006,리소토·필라프,34499967
FORGN,FORGN_M01007,마라탕,34499967
FORGN,FORGN_M01008,멕시칸음식,34499967
FORGN,FORGN_M01009,사시미,34499967
FORGN,FORGN_M01010,샐러드,34499967
FORGN,FORGN_M01011,소바,34499967
FORGN,FORGN_M01012,스시,34499967
FORGN,FORGN_M01013,스테이크,34499967
FORGN,FORGN_M01014,스튜,34499967
FORGN,FORGN_M01015,스프,34499967
FORGN,FORGN_M01016,쌀국수,34499967
FORGN,FORGN_M01017,오꼬노미야끼·타코야끼,34499967
FORGN,FORGN_M01018,인도음식,34499967
FORGN,FORGN_M01019,중식요리,34499967
FORGN,FORGN_M01020,타다끼,34499967
FORGN,FORGN_M01021,탕수육·꿔바로우,34499967
FORGN,FORGN_M01022,터키음식,34499967
FORGN,FORGN_M01023,파스타,34499967
FORGN,FORGN_M01024,피자,34499967
KOREA,KOREA_M01001,간장·양념게장,34499967
KOREA,KOREA_M01002,갈비찜·뼈찜,34499967
KOREA,KOREA_M01003,계란찜·계란말이,34499967
KOREA,KOREA_M01004,곰장어 요리,34499967
KOREA,KOREA_M01005,공기밥·돌솥밥,34499967
KOREA,KOREA_M01006,굴요리,34499967
KOREA,KOREA_M01008,낙지·오징어·쭈꾸미 요리,34499967
KOREA,KOREA_M01009,민물고기 요리,34499967
KOREA,KOREA_M01010,민물장어 요리,34499967
KOREA,KOREA_M01011,복어요리,34499967
KOREA,KOREA_M01012,비빔밥,34499967
KOREA,KOREA_M01013,새우구이,34499967
KOREA,KOREA_M01014,생선구이,34499967
KOREA,KOREA_M01015,생선찜·해물찜,34499967
KOREA,KOREA_M01016,쌈밥,34499967
KOREA,KOREA_M01017,아구·아귀요리,34499967
KOREA,KOREA_M01018,어죽,34499967
KOREA,KOREA_M01019,전·빈대떡·부침개,34499967
KOREA,KOREA_M01020,조개구이,34499967
KOREA,KOREA_M01021,죽,34499967
KOREA,KOREA_M01022,해산물요리,34499967
KOREA,KOREA_M01023,홍어 요리,34499967
KOREA,KOREA_M01024,황태 요리,34499967
KOREA,KOREA_M01025,회,34499967
KOREA,KOREA_M02001,갈비탕,34499967
KOREA,KOREA_M02002,감자탕,34499967
KOREA,KOREA_M02003,국·탕,34499967
KOREA,KOREA_M02004,국밥,34499967
KOREA,KOREA_M02005,매운탕·해물탕,34499967
KOREA,KOREA_M02006,사철탕·보신탕,34499967
SNACK,SNACK_M01001,김밥·주먹밥,34499967
SNACK,SNACK_M01002,떡볶이,34499967
SNACK,SNACK_M01003,라면,34499967
SNACK,SNACK_M01004,순대,34499967
SNACK,SNACK_M01005,쫄면,34499967
SPECL,SPECL_M01001,나베·전골,34499967
SPECL,SPECL_M01002,덮밥,34499967
SPECL,SPECL_M01003,도시락,34499967
SPECL,SPECL_M01004,돈가스,34499967
SPECL,SPECL_M01005,두부요리,34499967
SPECL,SPECL_M01006,면류,34499967
SPECL,SPECL_M01007,바닷가재·게요리,34499967
SPECL,SPECL_M01010,버섯요리,34499967
SPECL,SPECL_M01011,볶음밥,34499967
SPECL,SPECL_M01012,샤브샤브,34499967
SPECL,SPECL_M01013,양고기요리,34499967
SPECL,SPECL_M01014,오므라이스,34499967
SPECL,SPECL_M01015,우동,34499967
SPECL,SPECL_M01016,짜장면,34499967
SPECL,SPECL_M01017,짬뽕·짬뽕밥·짬뽕탕,34499967
SPECL,SPECL_M01018,참치회,34499967
SPECL,SPECL_M01019,채식·비건 요리,34499967
SPECL,SPECL_M01020,치킨가스·생선가스·규가스,34499967
SPECL,SPECL_M01021,카레,34499967
SPECL,SPECL_M01022,튀김,34499967
SPECL,SPECL_M01023,함박스테이크,34499967
