no,address,price,land_type,size,land_info,lat,lon
0,대구 수성구 신매동 567,95억,토지,1742m²,1742m²,35.840321,128.705216
0,대구 수성구 신매동 567,84억,토지,급매 달구벌 대로 접한 토지매매,급매 달구벌 대로 접한 토지매매,35.840321,128.705216
0,대구 수성구 신매동 567,150억,토지,1270m²,1270m²,35.840321,128.705216
0,대구 수성구 신매동 567,150억,토지,"달구벌대로변, 상가신축부지, 코너위치","달구벌대로변, 상가신축부지, 코너위치",35.840321,128.705216
0,대구 수성구 신매동 567,95억,토지,1884m²,1884m²,35.840321,128.705216
0,대구 수성구 신매동 567,95억,토지,달구벌대로접 코너 나대지 매매,달구벌대로접 코너 나대지 매매,35.840321,128.705216
0,대구 수성구 신매동 567,150억,토지,1887m²,1887m²,35.840321,128.705216
0,대구 수성구 신매동 567,150억,토지,"수성구 달구벌대로 대로변 코너 신축 대형부지 ,병,의원 강력추천","수성구 달구벌대로 대로변 코너 신축 대형부지 ,병,의원 강력추천",35.840321,128.705216
0,대구 수성구 신매동 567,60억,토지,1742m²,1742m²,35.840321,128.705216
1,대구시 수성구 대흥동 904-1,43억,토지,622m²,622m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,25억,토지,"알파시티 내 코너부지, 롯데몰 현장 앞, 네모 반듯한 부지","알파시티 내 코너부지, 롯데몰 현장 앞, 네모 반듯한 부지",35.834282,128.690197
1,대구시 수성구 대흥동 904-1,45억,토지,500m²,500m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"34억 6,000",토지,"수성알파시티, 수성IC인근, 사무실, 상가건물 신축 투자, 전망최고","수성알파시티, 수성IC인근, 사무실, 상가건물 신축 투자, 전망최고",35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"34억 6,000",토지,494m²,494m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"32억 6,400",토지,수성IC 바로앞 대도로접,수성IC 바로앞 대도로접,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,62억,토지,458m²,458m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,61억,토지,"알파시티 상업지역, 신축부지, 상업건물 및 호텔 추천","알파시티 상업지역, 신축부지, 상업건물 및 호텔 추천",35.834282,128.690197
1,대구시 수성구 대흥동 904-1,43억,토지,458m²,458m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"36억 9,000",토지,수성알파시티 롯데몰앞. 회사사옥 및 상업용빌딩 추천,수성알파시티 롯데몰앞. 회사사옥 및 상업용빌딩 추천,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"36억 9,000",토지,636m²,636m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"81억 4,000",토지,"회사사옥,꼬마빌딩,커피숍 대진지못뷰좋아요 수성ic앞","회사사옥,꼬마빌딩,커피숍 대진지못뷰좋아요 수성ic앞",35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"80억 5,000",토지,684m²,684m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,34억 800,토지,수성알파시티 롯데몰앞쪽에 위치한 3면코너접한 나대지,수성알파시티 롯데몰앞쪽에 위치한 3면코너접한 나대지,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,43억,토지,2017m²,2017m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,59억,토지,주차장부지 수성ic앞 대진지못옆,주차장부지 수성ic앞 대진지못옆,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"32억 6,400",토지,622m²,622m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,31억,토지,알파시티코너땅 사옥짓기좋아요 고산역 수성ic,알파시티코너땅 사옥짓기좋아요 고산역 수성ic,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"48억 7,600",토지,408m²,408m²,35.834282,128.690197
1,대구시 수성구 대흥동 904-1,"34억 6,000",토지,"꼬마빌딩지을수있어요,대진지못뷰좋아요,수성ic","꼬마빌딩지을수있어요,대진지못뷰좋아요,수성ic",35.834282,128.690197
2,범어동 동대구로74안길,"13억 5,000",토지,125m²,125m²,35.864755,128.62855
2,범어동 동대구로74안길,4억,토지,"경북맨션가로주택사업 조합원토지 매물, 45형, 관리처분인가 단계","경북맨션가로주택사업 조합원토지 매물, 45형, 관리처분인가 단계",35.864755,128.62855
2,범어동 동대구로74안길,"17억 5,000",토지,91m²,91m²,35.864755,128.62855
2,범어동 동대구로74안길,17억,토지,"사진有, 나대지, 범어동 투자, 주변 재개발호재","사진有, 나대지, 범어동 투자, 주변 재개발호재",35.864755,128.62855
2,범어동 동대구로74안길,"355억 5,000",토지,159m²,159m²,35.864755,128.62855
2,범어동 동대구로74안길,24억,토지,"범4 나대지상태학원밀집지역,상권및 투자성 최고.주변개발호재多","범4 나대지상태학원밀집지역,상권및 투자성 최고.주변개발호재多",35.864755,128.62855
2,범어동 동대구로74안길,4억,토지,149m²,149m²,35.864755,128.62855
2,범어동 동대구로74안길,54억,토지,"수성구청 인근, 나대지 매매, 건물신축 추천, 양소장","수성구청 인근, 나대지 매매, 건물신축 추천, 양소장",35.864755,128.62855
2,범어동 동대구로74안길,54억,토지,783m²,783m²,35.864755,128.62855
2,범어동 동대구로74안길,86억,토지,귀한 범어동 중심상업지 대형 면적 토지,귀한 범어동 중심상업지 대형 면적 토지,35.864755,128.62855
2,범어동 동대구로74안길,"6억 2,000",토지,277m²,277m²,35.864755,128.62855
2,범어동 동대구로74안길,345억,토지,범어1동 복개천 인근 다용도 신축부지,범어1동 복개천 인근 다용도 신축부지,35.864755,128.62855
2,범어동 동대구로74안길,"17억 5,000",토지,91m²,91m²,35.864755,128.62855
2,범어동 동대구로74안길,89억,토지,"범어에뜰 복개천 투자용 나대지.상권,교통 어우러진 투자처","범어에뜰 복개천 투자용 나대지.상권,교통 어우러진 투자처",35.864755,128.62855
2,범어동 동대구로74안길,"463억 5,000",토지,457m²,457m²,35.864755,128.62855
2,범어동 동대구로74안길,20억,토지,수성구청 인근 범어 4동 신축 가능한 귀한 나대지 매매,수성구청 인근 범어 4동 신축 가능한 귀한 나대지 매매,35.864755,128.62855
2,범어동 동대구로74안길,54억,토지,457m²,457m²,35.864755,128.62855
2,범어동 동대구로74안길,"52억 8,000",토지,"수성구청역5분,북8m접,수성구청이전호재,신축다용도,나대지,기타협의가","수성구청역5분,북8m접,수성구청이전호재,신축다용도,나대지,기타협의가",35.864755,128.62855
3,대구시 수성구 청수로24길 91,10억,토지,244m²,244m²,35.835604,128.621331
3,대구시 수성구 청수로24길 91,25억,토지,"남10m서4m도로접, 코너.반듯함. 가격은 협의","남10m서4m도로접, 코너.반듯함. 가격은 협의",35.835604,128.621331
3,대구시 수성구 청수로24길 91,"6억 5,000",토지,409m²,409m²,35.835604,128.621331
3,대구시 수성구 청수로24길 91,"6억 5,000",토지,"수성못상권, 위치좋음. 10m도로접, 명도가능.","수성못상권, 위치좋음. 10m도로접, 명도가능.",35.835604,128.621331
3,대구시 수성구 청수로24길 91,53억,토지,196m²,196m²,35.835604,128.621331
3,대구시 수성구 청수로24길 91,"10억 3,544",토지,두산네거리 근처의 신축용대지 투지용추천,두산네거리 근처의 신축용대지 투지용추천,35.835604,128.621331
3,대구시 수성구 청수로24길 91,"35억 3,400",토지,196m²,196m²,35.835604,128.621331
3,대구시 수성구 청수로24길 91,80억,토지,두산오거리인근대로접 신축상가추천,두산오거리인근대로접 신축상가추천,35.835604,128.621331
3,대구시 수성구 청수로24길 91,115억,토지,606m²,606m²,35.835604,128.621331
3,대구시 수성구 청수로24길 91,22억,토지,244m²,244m²,35.835604,128.621331
4,대구 수성구 지범로 12,10억,토지,244m²,244m²,35.828776,128.62356
4,대구 수성구 지범로 12,25억,토지,"남10m서4m도로접, 코너.반듯함. 가격은 협의","남10m서4m도로접, 코너.반듯함. 가격은 협의",35.828776,128.62356
4,대구 수성구 지범로 12,"6억 5,000",토지,409m²,409m²,35.828776,128.62356
4,대구 수성구 지범로 12,"6억 5,000",토지,"수성못상권, 위치좋음. 10m도로접, 명도가능.","수성못상권, 위치좋음. 10m도로접, 명도가능.",35.828776,128.62356
4,대구 수성구 지범로 12,"10억 3,544",토지,196m²,196m²,35.828776,128.62356
4,대구 수성구 지범로 12,53억,토지,두산네거리 근처의 신축용대지 투지용추천,두산네거리 근처의 신축용대지 투지용추천,35.828776,128.62356
4,대구 수성구 지범로 12,"35억 3,400",토지,196m²,196m²,35.828776,128.62356
4,대구 수성구 지범로 12,80억,토지,두산오거리인근대로접 신축상가추천,두산오거리인근대로접 신축상가추천,35.828776,128.62356
4,대구 수성구 지범로 12,115억,토지,244m²,244m²,35.828776,128.62356
4,대구 수성구 지범로 12,22억,토지,현재 나대지. 코너자리. 반듯하니직사각형,현재 나대지. 코너자리. 반듯하니직사각형,35.828776,128.62356
5,대구광역시 수성구 수성로 173,39억,토지,488m²,488m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,181억,토지,즉시 명도가능한 희망로 대로접한 전면좋은 25m15m코너 부지,즉시 명도가능한 희망로 대로접한 전면좋은 25m15m코너 부지,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,"4억 5,000",토지,4001m²,4001m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,39억,토지,"대단지아파트 밀집, 효성병원 인근, 2종과 잡종지 두필지.","대단지아파트 밀집, 효성병원 인근, 2종과 잡종지 두필지.",35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,10억,토지,159m²,159m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,33억,토지,수성구 중동 건축부지 급매 투자가치,수성구 중동 건축부지 급매 투자가치,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,181억,토지,488m²,488m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,181억,토지,대도로접한 코너 주위 재개발단지조성 신축건물 최상의위치,대도로접한 코너 주위 재개발단지조성 신축건물 최상의위치,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,39억,토지,247m²,247m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,19억,토지,중동희망지구. 시공사자이선정. 129 대형타입 신청. 코너도로접,중동희망지구. 시공사자이선정. 129 대형타입 신청. 코너도로접,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,181억,토지,228m²,228m²,35.84111586,128.6119413
5,대구광역시 수성구 수성로 173,10억,토지,현재 신축4층완공.  4월 준공.,현재 신축4층완공.  4월 준공.,35.84111586,128.6119413
6,대구광역시 수성구 교학로4길 39,"6억 1,000",토지,581m²,581m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"7억 9,500",토지,수성구만촌동 자연녹지 투자용 주말농장,수성구만촌동 자연녹지 투자용 주말농장,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,50억,토지,176m²,176m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,12억,토지,"만촌네거리 오성중고 인근, 주택 상가 신축부지, 도로 코너부분","만촌네거리 오성중고 인근, 주택 상가 신축부지, 도로 코너부분",35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"9억 4,000",토지,499m²,499m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,24억,토지,급매 상업지역 30M도로접 부지매매 구경하고가세요,급매 상업지역 30M도로접 부지매매 구경하고가세요,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"61억 5,000",토지,336m²,336m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"113억 8,000",토지,"나대지102p,건물신축지,만촌1동동부중인근20m도로버스길코너인근,즉시명도","나대지102p,건물신축지,만촌1동동부중인근20m도로버스길코너인근,즉시명도",35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"4억 8,000",토지,311m²,311m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"6억 9,000",토지,만촌동 도로접한 대형대지,만촌동 도로접한 대형대지,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,33억,토지,434m²,434m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"3억 5,000",토지,대로변에 신축하려고 밀어 놓은 땅,대로변에 신축하려고 밀어 놓은 땅,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"9억 8,000",토지,679m²,679m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"3억 5,000",토지,대로변 전면 넓은 땅,대로변 전면 넓은 땅,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"7억 9,500",토지,1062m²,1062m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,7억,토지,현 나대지임,현 나대지임,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"9억 8,000",토지,100m²,100m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,7억,토지,"20m대로,신축추천","20m대로,신축추천",35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"5억 9,000",토지,262m²,262m²,35.85478834,128.6507609
6,대구광역시 수성구 교학로4길 39,"61억 5,000",토지,현 나대지임,현 나대지임,35.85478834,128.6507609
